acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,label,filename
0.9997401237487793,0.9689920883784076,0.22389043867588043,1765.9534044041936,1609.7925540156448,0.031007911621592426,129.19921875,0.47687017132423865,hiphop,1000 Handz - Achilles.mp3
0.9998641610145569,0.9810164932533032,0.3515641391277313,1697.2739180632948,1166.5889072091036,0.018983506746696823,139.6748310810811,0.40734803933592545,hiphop,1000 Handz - Ambition.mp3
0.9995781779289246,0.922871604044754,0.2640118896961212,2803.1729745633447,2764.276873471117,0.07712839595524602,99.38401442307692,0.49650682959461473,hiphop,1000 Handz - Archangel.mp3
0.9997299313545227,0.9592099157466846,0.29426509141921997,2265.264887703481,2080.9394962777874,0.04079008425331546,123.046875,0.4787946704643426,hiphop,1000 Handz - Around.mp3
0.9993032813072205,0.9414747170588292,0.21897491812705994,2958.073691948305,2797.0781146725963,0.05852528294117072,97.50884433962264,0.4860129164566502,hiphop,1000 Handz - Beach Club.mp3
0.9997069239616394,0.9470371541457736,0.1766953319311142,2359.9714799173908,2445.6247499127453,0.05296284585422636,107.666015625,0.5089118253886842,hiphop,1000 Handz - Bengal.mp3
0.9998494386672974,0.9711461364186492,0.3829810619354248,2606.136826535506,2230.7232964420364,0.028853863581350774,84.72079918032787,0.4611924346093399,hiphop,1000 Handz - Boomy.mp3
0.9998108148574829,0.9714907377349657,0.3516281247138977,2115.246416283242,1737.35062512132,0.028509262265034273,151.99908088235293,0.4509557075392886,hiphop,1000 Handz - Break Bread.mp3
0.9998735785484314,0.9551640511306392,0.15534871816635132,1630.4159072023863,1771.056140664322,0.0448359488693608,122.28260869565217,0.5206734364477277,hiphop,1000 Handz - Brick The Switch.mp3
0.9998403787612915,0.9606923584116578,0.22036732733249664,1911.3096707384273,1683.3844094409753,0.039307641588342226,105.46875,0.4682969875669266,hiphop,1000 Handz - Call me.mp3
0.9996802806854248,0.946596702907129,0.361238956451416,2390.106390615761,2244.889129024835,0.05340329709287096,161.4990234375,0.48433469224034376,hiphop,1000 Handz - Cheat Code.mp3
0.9998615384101868,0.9741413026362605,0.32930469512939453,2310.2388264147967,1775.3297047578392,0.025858697363739518,93.96306818181819,0.4345367580491299,hiphop,1000 Handz - Circuit.mp3
0.9998218417167664,0.9651691810344828,0.07092958688735962,1813.933920033014,1494.4438515352924,0.03483081896551724,97.50884433962264,0.4517149957681979,hiphop,1000 Handz - Cocoon.mp3
0.9982139468193054,0.9470719586638572,0.2437761425971985,2792.6801396720225,2611.56150215856,0.05292804133614279,109.95678191489361,0.483242918203543,hiphop,1000 Handz - Kimura.mp3
0.9998863339424133,0.9761061731055827,0.46454527974128723,2049.2887983461355,1544.8393946596618,0.02389382689441737,178.20581896551724,0.42982312017587704,hiphop,1000 Handz - Mastery.mp3
0.9999635219573975,0.9797370293732048,0.4307379126548767,2209.8847268921318,1631.672928055873,0.020262970626795194,120.18531976744185,0.42474253263633893,hiphop,1000 Handz - Predator.mp3
0.996631920337677,0.9651069976933588,0.07494047284126282,2800.1477850364213,2310.5975184565004,0.03489300230664119,95.703125,0.4521057851239865,hiphop,1000 Handz - Survival.mp3
0.9998713731765747,0.9744996845265723,0.19365204870700836,1927.0465418381164,1391.0902684255925,0.02550031547342771,107.666015625,0.41923837007064135,hiphop,1000 Handz - Trees Grow Silent.mp3
0.9998705983161926,0.9600089883846883,0.13003496825695038,2097.1247710146854,1706.9893370485263,0.03999101161531166,161.4990234375,0.4487219068906647,hiphop,1000 Handz - Trigger.mp3
0.9990541934967041,0.9690565659075563,0.1729307621717453,2476.7158835109435,1910.5515648131677,0.030943434092443666,120.18531976744185,0.4354764296640956,hiphop,"A. Cooper - 1,440 Minutes.mp3"
0.9944940209388733,0.9340030312527613,0.1366874724626541,4219.736564861523,3931.726831625927,0.06599696874723866,126.04801829268293,0.4823338632469128,hiphop,A. Cooper - 23.mp3
0.998670756816864,0.9682242491570731,0.20725928246974945,2725.8048505547454,2215.760587026291,0.03177575084292694,117.45383522727273,0.44839244052640603,hiphop,A. Cooper - Clarity.mp3
0.9967355728149414,0.9548439508751978,0.19591546058654785,2911.7688285675194,2609.67202135613,0.045156049124802214,132.51201923076923,0.4726432994242025,hiphop,A. Cooper - Punching Walls.mp3
0.9990301132202148,0.984014191345787,0.20200246572494507,3327.4761347536164,2392.9222496727198,0.015985808654212993,126.04801829268293,0.41831391599736933,hiphop,A. Cooper - Status Quo.mp3
0.9998467564582825,0.9770469603767539,0.16548103094100952,1157.1858978213806,841.4503142669952,0.022953039623246088,156.60511363636363,0.42101224262656134,hiphop,Acid Stars (Downtempo ChillHop LoFi).mp3.mp3
0.9702887535095215,0.8818668621984908,0.12097137421369553,4408.264362600583,5434.7106876498265,0.11813313780150923,112.34714673913044,0.5521410609447215,hiphop,Anthem of Rain - Lost Without You (Instrumental).mp3
0.9962396025657654,0.919036461626888,0.17198453843593597,3505.73785130054,3692.609653896268,0.08096353837311195,99.38401442307692,0.5129801875663029,hiphop,Beat Mekanik - Trapeze II.mp3
0.9997960925102234,0.97555322190799,0.18051250278949738,1275.6072327697439,966.5691562356277,0.024446778092010044,161.4990234375,0.43108524402636855,hiphop,Catchy History (Downtempo Electronic Hip Hop).mp3.mp3
0.9999176859855652,0.9310381868009281,0.24567578732967377,3034.0890706984947,3020.094699217606,0.06896181319907187,126.04801829268293,0.4988442395366228,hiphop,Chris Wolverine Matthew - BACK TO LIFE.mp3
